# +                 L=1                 L=3                 L=5
         2.91787522e-01     -9.20170184e-06     -1.28678623e-05
        -4.10094358e-01     -2.53270160e-01      4.27998989e-04
         1.94322158e-01      1.75751177e-01      9.36480837e-02
        -4.45333905e-02     -4.53044552e-02     -3.99425284e-02
         5.41275366e-03      5.76839388e-03      6.34339645e-03
        -2.92282019e-04     -3.19947382e-04     -3.91605772e-04
# -                 L=1                 L=3                 L=5
        -2.10987619e-01      6.97456228e-06      1.02546018e-05
         2.40148951e-01      2.09698857e-01     -3.43726063e-04
        -8.91389145e-02     -1.18255356e-01     -8.47643830e-02
         1.83303008e-02      2.85468292e-02      3.25229259e-02
        -2.34349353e-03     -3.74782254e-03     -4.91292144e-03
         1.36610970e-04      2.19343076e-04      2.99759480e-04
