#p ci (L=1)	ci (L=3)	ci (L=5)
0.163523	0.0		0.0
-0.125749	-0.132651	0.0
0.0450115	0.0668207	0.0678788
-0.00624361	-0.0124938	-0.0207994
0.000245811	0.000614695	0.00171886
-1.85038e-7	-1.48556e-8	-3.6698e-8
#n ci (L=1)	ci (L=3)	ci (L=5)
0.0144959	0.0		0.0
-0.017996	-0.00320049	0.0
0.00679698	0.00161307	0.0000733265
-0.000985306	-0.000240205	-0.0000296856
0.0000461489	0.0000177136	2.66146e-6
-2.6458e-7	-1.81495e-7	-2.07467e-8
