#p ci (L=1)	ci (L=3)
0.132973	0.0
-0.104393	0.0899535
0.00909271	-0.0142746
0.0		0.0
0.0		0.0
0.0		0.0
#n ci (L=1)	ci (L=3)
0.0141201	0.0
-0.00774151	-0.000878018
0.000326936	-0.000231297
0.0		0.0
0.0		0.0
0.0		0.0	
