#p ci (L=1)	ci (L=3)
0.0940265	0.0
-0.0404172	0.0779019
-0.000254736	-0.00592251
0.0		0.0
0.0		0.0
0.0		0.0
#n ci (L=1)	ci (L=3)
0.00998438	0.0
-0.00902057	-0.000760388
0.00180209	-0.000223599
0.0		0.0
0.0		0.0
0.0		0.0	
