# +                 L=1                 L=3                 L=5
         1.46009213e-01     -1.69655153e-08     -1.60756785e-06
        -7.01878337e-02     -4.75275749e-02      3.61363742e-05
         1.27380572e-02      1.00971851e-03      3.06599565e-02
        -1.67710494e-03      8.57647157e-04     -3.49111220e-03
         1.81268775e-04     -1.20796820e-04      3.66669123e-04
        -9.41877557e-06      6.44165233e-06     -2.06092976e-05
# -                 L=1                 L=3                 L=5
         1.12265225e-01      2.44442903e-06     -1.63428666e-06
         1.00506271e-02     -3.57003861e-02      3.37136795e-05
        -1.85853045e-04     -1.26808284e-02      2.78517973e-02
        -1.18639678e-03      2.21852231e-03     -1.95791504e-03
         1.19493717e-04     -2.32756306e-04      1.69141986e-04
        -6.02983578e-06      1.48221016e-05     -1.24807860e-05
