#p ci (L=1)	ci (L=3)
-0.00361339	0.0
0.00442108	-0.0000839117
-0.00205213	0.000213614
0.000349931	-0.0000258884
-0.0000169039	2.73765e-7
-3.20028e-9	-4.49323e-9
#n ci (L=1)	ci (L=3)
-0.114337	0.0
-0.0175951	0.0315279
0.0321689	0.0476438
-0.00881948	-0.0170447
0.000540511	0.00152533
-3.05396e-8	-1.37901e-7
